review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
54e7b600-0ec4-4539-b5aa-f67edebc795c,ed919b55-91c3-4f13-a540-ecd11f0e523d,5,repellat,Eaque blanditiis omnis nemo.,2018-01-15 00:00:00,2017-09-10 07:00:00
716cb725-7822-41ff-ae59-5a18dad88a95,c0c36528-3e9d-447a-96ce-7d179a7db4b4,5,,Inventore dicta nisi voluptatem impedit adipisci ut harum.,2017-12-24 00:00:00,2018-08-20 19:00:00
4569c3a7-7610-468f-8cac-4e320c76f9e6,b4a7ea99-d572-4408-be11-bb319b828fab,3,,,2018-07-07 00:00:00,2018-06-14 04:00:00
11b8d395-d3d0-4ebf-ab91-a4b69daad003,469a09ee-422b-48e9-9b93-db00f1db228c,5,,Corrupti sint maiores accusantium.,2017-12-13 00:00:00,2018-01-04 10:00:00
8a829f6d-7d76-47cb-803e-de27ab666a8c,39f6549b-48fb-45d1-b36d-8da9940cbc1d,2,,,2017-02-07 00:00:00,2017-10-04 20:00:00
78165ccb-b64f-4030-8f9b-c12b845f1ba6,e087e259-4507-4307-a183-cfa3932df381,5,odio,,2017-07-10 00:00:00,2017-07-30 07:00:00
822929b9-8a06-4b9b-902c-e81cd979a73b,869c6fdd-0465-48d7-8388-06fe68f06068,4,,,2018-05-13 00:00:00,2018-01-12 19:00:00
4186ef53-2733-41e5-8136-f4dce804c7ab,a84a3aee-d636-489d-ad0f-c0f7c252714e,4,,Iste numquam voluptates qui modi.,2018-05-20 00:00:00,2017-02-16 18:00:00
726e0a16-2d4d-4217-bf09-1a756e493e7c,256714d6-2bdc-43d7-8fb5-1ba1b31985d0,5,explicabo,Deleniti possimus accusamus quod alias quae aperiam.,2017-10-24 00:00:00,2017-02-25 19:00:00
d07ac812-7cf5-4307-81e1-431f530f5e8f,5404211d-97e3-423f-8c38-f74b397ab7cc,5,,,2017-10-08 00:00:00,2017-11-28 00:00:00
5adcdffc-fcec-4aba-9725-1487553c31f0,9afe08a7-20d8-42e4-ab8d-864280210c15,5,,Blanditiis voluptatibus sequi.,2017-04-13 00:00:00,2018-07-05 03:00:00
62780d74-3751-4316-b0ec-b704cd46d283,ef67e86a-b93a-402f-ba1e-827ab91340e3,5,odio,Quas assumenda saepe fugit.,2017-10-18 00:00:00,2018-02-07 13:00:00
f791645d-859a-4a8d-bb5c-1b94c3c48892,ab441946-935b-4c84-bd03-026637f15695,5,,Eius modi temporibus delectus.,2018-03-14 00:00:00,2018-04-30 04:00:00
67dcec1d-d50f-4b19-8099-47134b34eb1e,c541ea01-a47d-4853-887e-649dd14c6d19,5,,,2017-11-30 00:00:00,2017-10-02 23:00:00
a47ed9ff-9bef-406b-b02d-f5754eff7434,dbaea49d-9527-4102-85bb-0541e1e0d3d7,5,,,2018-03-23 00:00:00,2017-05-20 09:00:00
cfa636f8-cbba-4500-9520-1c34d4717d8b,3fca1417-1989-4db9-8505-13d0ef0abbd0,5,,,2017-08-02 00:00:00,2017-11-11 14:00:00
3d6f0eb6-a405-4ccd-9e78-2114d0272f86,020ab8a8-f7a3-4987-9a86-45c4285e9704,3,,,2018-05-23 00:00:00,2018-01-27 00:00:00
cac8d16e-6b8e-41fd-9469-1eef730a96e3,922d82ff-c29f-4a8f-a4eb-5ab9ff69af1c,5,,Animi eius odit optio quos optio.,2017-08-10 00:00:00,2017-08-18 19:00:00
68873634-91ef-4c69-a804-7e045faad0d3,b0f732d8-0fab-4fb8-a10b-f60a720f1c3d,4,,Iusto molestiae recusandae blanditiis officiis.,2017-03-18 00:00:00,2017-01-23 19:00:00
1b3073cb-5d54-4f8f-900f-61269c7b156c,7a8e854f-dc44-4179-9d7a-0bd02c5fd1ca,5,,,2018-08-02 00:00:00,2018-03-20 06:00:00
b58bb0a6-1316-4bfc-ba24-e92b833d842b,53aab43a-7a9b-4b2c-8b19-1955c2fdb44a,2,,Fugit neque ad eius ipsam.,2018-05-29 00:00:00,2017-03-07 06:00:00
bbd11f4b-6ea5-4d7b-8dca-04c10c54254c,84c12470-da04-43df-a634-727d4d25d614,5,,Eligendi ea quo placeat molestias.,2017-02-14 00:00:00,2018-07-08 01:00:00
c2b5b17e-9ad7-42be-9926-551e541fbfad,a15b293e-497d-4e5c-b155-dc875905fd87,5,,,2017-04-14 00:00:00,2018-06-03 18:00:00
e8649a16-4145-4000-9dc1-127139056a43,5edbf93e-69ad-4a79-88cc-684db5b2872b,5,,,2017-04-02 00:00:00,2017-09-18 15:00:00
908bcecb-8f4a-4d91-be98-757127dcdbd9,95ea378b-cce3-4db7-b8fd-780c5630899b,5,,,2017-10-12 00:00:00,2018-06-26 10:00:00
