order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ed919b55-91c3-4f13-a540-ecd11f0e523d,4be318a8-0b39-4ccf-bc9f-3bc37210045a,delivered,2017-10-05 10:56:00,2017-10-05 12:10:00,2017-10-06 12:10:00,2017-10-15 12:10:00,2017-10-28 10:56:00
c0c36528-3e9d-447a-96ce-7d179a7db4b4,811317a8-f4c8-4393-96dd-6c82a8909e31,delivered,2017-07-23 01:27:00,2017-07-23 03:17:00,2017-07-25 03:17:00,2017-07-28 03:17:00,2017-08-11 01:27:00
b4a7ea99-d572-4408-be11-bb319b828fab,c0c9c3ed-8ef9-4060-9545-7c643d922952,delivered,2017-07-01 01:50:00,2017-07-01 02:21:00,2017-07-02 02:21:00,2017-07-07 02:21:00,2017-07-18 01:50:00
469a09ee-422b-48e9-9b93-db00f1db228c,668d3c8b-dab5-4d55-9d75-c03c5f4faf10,delivered,2017-09-03 07:16:00,2017-09-03 07:21:00,2017-09-04 07:21:00,2017-09-12 07:21:00,2017-09-13 07:16:00
39f6549b-48fb-45d1-b36d-8da9940cbc1d,b42a2d93-9aba-4f15-b214-90623e1a963e,delivered,2018-05-29 22:40:00,2018-05-29 23:47:00,2018-05-30 23:47:00,2018-06-02 23:47:00,2018-06-09 22:40:00
e087e259-4507-4307-a183-cfa3932df381,a46acc9a-9861-4260-9869-c755e85c1ec9,delivered,2017-01-25 15:31:00,2017-01-25 15:36:00,2017-01-26 15:36:00,2017-01-28 15:36:00,2017-02-12 15:31:00
869c6fdd-0465-48d7-8388-06fe68f06068,f27f3ad7-4890-4b6d-9240-ef02a9681fc1,delivered,2017-01-07 04:02:00,2017-01-07 04:27:00,2017-01-09 04:27:00,2017-01-15 04:27:00,2017-01-28 04:02:00
a84a3aee-d636-489d-ad0f-c0f7c252714e,43b9da13-ec85-4f37-bbc1-a987aff8754d,delivered,2017-07-06 02:40:00,2017-07-06 02:53:00,2017-07-07 02:53:00,2017-07-16 02:53:00,2017-07-16 02:40:00
256714d6-2bdc-43d7-8fb5-1ba1b31985d0,57f479b5-b212-46ee-8210-63710260a123,delivered,2018-04-06 14:10:00,2018-04-06 14:38:00,2018-04-09 14:38:00,2018-04-13 14:38:00,2018-04-26 14:10:00
5404211d-97e3-423f-8c38-f74b397ab7cc,587ef344-6f3f-420c-98b8-e4cc1bc044fc,delivered,2017-03-24 00:53:00,2017-03-24 02:43:00,2017-03-25 02:43:00,2017-03-27 02:43:00,2017-04-15 00:53:00
9afe08a7-20d8-42e4-ab8d-864280210c15,55c34853-0783-443c-a65f-ad87c57c7498,delivered,2018-03-20 00:09:00,2018-03-20 02:05:00,2018-03-23 02:05:00,2018-03-29 02:05:00,2018-04-05 00:09:00
ef67e86a-b93a-402f-ba1e-827ab91340e3,89a3c811-895c-4fde-a3fa-40691519fd38,delivered,2018-01-10 19:36:00,2018-01-10 21:32:00,2018-01-13 21:32:00,2018-01-21 21:32:00,2018-02-02 19:36:00
ab441946-935b-4c84-bd03-026637f15695,b972393a-5bb0-4d76-a0b5-7717b072afc8,delivered,2018-03-08 04:28:00,2018-03-08 06:01:00,2018-03-09 06:01:00,2018-03-12 06:01:00,2018-03-26 04:28:00
c541ea01-a47d-4853-887e-649dd14c6d19,54ce26be-c8cc-42c2-a518-a4186f14b3f6,delivered,2018-01-16 10:00:00,2018-01-16 11:27:00,2018-01-18 11:27:00,2018-01-22 11:27:00,2018-01-31 10:00:00
dbaea49d-9527-4102-85bb-0541e1e0d3d7,7279101c-93f3-403d-9d96-232d63d5e750,delivered,2018-05-20 08:27:00,2018-05-20 09:39:00,2018-05-22 09:39:00,2018-05-30 09:39:00,2018-06-11 08:27:00
3fca1417-1989-4db9-8505-13d0ef0abbd0,edcd465e-3638-4821-b6e0-7cc06c52c49f,delivered,2017-07-21 04:33:00,2017-07-21 06:13:00,2017-07-24 06:13:00,2017-07-31 06:13:00,2017-08-07 04:33:00
020ab8a8-f7a3-4987-9a86-45c4285e9704,95ca788d-d6bc-4712-aecc-a931ef705d01,delivered,2017-07-27 05:45:00,2017-07-27 07:17:00,2017-07-30 07:17:00,2017-08-08 07:17:00,2017-08-07 05:45:00
922d82ff-c29f-4a8f-a4eb-5ab9ff69af1c,bf0d073d-821c-4336-9970-cf60ebff8d15,delivered,2018-01-12 14:28:00,2018-01-12 16:12:00,2018-01-15 16:12:00,2018-01-18 16:12:00,2018-01-30 14:28:00
b0f732d8-0fab-4fb8-a10b-f60a720f1c3d,2f2bdc13-b216-4b5a-9c60-57fee5605cfb,delivered,2018-02-28 01:50:00,2018-02-28 02:49:00,2018-03-02 02:49:00,2018-03-04 02:49:00,2018-03-15 01:50:00
7a8e854f-dc44-4179-9d7a-0bd02c5fd1ca,a175a9c3-d7b1-42a9-a332-a50e6992896e,delivered,2017-11-17 22:56:00,2017-11-18 00:06:00,2017-11-19 00:06:00,2017-11-21 00:06:00,2017-11-29 22:56:00
53aab43a-7a9b-4b2c-8b19-1955c2fdb44a,b89f72f3-2a60-4652-a714-7668cf1d7d3a,delivered,2017-03-09 03:18:00,2017-03-09 03:24:00,2017-03-12 03:24:00,2017-03-18 03:24:00,2017-03-22 03:18:00
84c12470-da04-43df-a634-727d4d25d614,403fd582-4ccf-4a4b-bc93-243ec90b9454,delivered,2017-04-09 00:40:00,2017-04-09 01:13:00,2017-04-11 01:13:00,2017-04-15 01:13:00,2017-04-24 00:40:00
a15b293e-497d-4e5c-b155-dc875905fd87,746b161a-31cc-4738-b68a-e9b79b3aa1d1,delivered,2017-05-31 23:12:00,2017-06-01 01:01:00,2017-06-03 01:01:00,2017-06-13 01:01:00,2017-06-22 23:12:00
5edbf93e-69ad-4a79-88cc-684db5b2872b,ea8b31f5-ccae-48fe-94eb-8e20af7c7d2b,delivered,2017-03-14 07:35:00,2017-03-14 08:11:00,2017-03-16 08:11:00,2017-03-19 08:11:00,2017-03-31 07:35:00
95ea378b-cce3-4db7-b8fd-780c5630899b,42c18a62-ef48-48d5-90fd-9d3f85d51695,delivered,2017-12-03 19:18:00,2017-12-03 20:27:00,2017-12-05 20:27:00,2017-12-10 20:27:00,2017-12-17 19:18:00
202b50d1-c71a-4cec-9bf0-d42a21c4f6d5,43d643ed-236e-4832-a7f6-a2ac5b0c4170,delivered,2017-01-15 04:42:00,2017-01-15 06:40:00,2017-01-16 06:40:00,2017-01-23 06:40:00,2017-02-06 04:42:00
0afc32bc-0299-4355-be93-3783098bfdfb,7746d0ba-8ae8-405b-94b4-a48268586eba,delivered,2017-06-07 09:09:00,2017-06-07 09:25:00,2017-06-08 09:25:00,2017-06-10 09:25:00,2017-06-28 09:09:00
6ece6ce9-9112-448d-8734-07a34d40e14f,a4b65cfa-8a61-4e64-8af0-f442102048e6,delivered,2017-05-21 02:50:00,2017-05-21 04:45:00,2017-05-22 04:45:00,2017-05-30 04:45:00,2017-06-01 02:50:00
edcc6a95-61aa-442d-8dec-48e4d92757a8,2dc09158-7b83-41cf-8ebc-6d7ec8a65b85,delivered,2018-04-24 12:43:00,2018-04-24 13:07:00,2018-04-25 13:07:00,2018-04-30 13:07:00,2018-05-09 12:43:00
