customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
9eb473e24db342f387dc25750e699b36,588b736e9c0e4e4bbcc79b2916af06df,46048,cidade 1 ms,MS
4af8700a8d4643bbb1bf77a035000d10,7d468f270e344283b2b3b1a3673d6c39,23434,curitiba,PR
f0055cfbb2554b4ebe5208208ef88f7a,cc9327cfffa64b878d5c43328a22d9c5,21395,cidade 3 pb,PB
09208c154ddd41d796abc11d8a05e9c5,204a1ee7a79e41f5b3eedfda189d105d,13905,cidade 1 ma,MA
c58e6ce1872f4e87a59b076b430d0934,b0eb59b763e447a39793ac8a54573080,76237,rio de janeiro,RJ
883f368ba021432b924a2f29e3256731,ed699be69b2f45fe87d65d325e14ca70,36062,cidade 3 ms,MS
a6ed6c07b59f4229a7a4380b8d7662dd,fd1c32948e2d4e6592d4029e9b978506,81426,cidade 3 es,ES
bb59872df9a1404d90793e75d7828c53,0beff483d08f48fb89bf1d8af652fb88,87236,caruaru,PE
fe3525cc07e2438eb55d10d149ef2859,7d21a52683e5476b9f81f5979c9f76ee,30926,florianopolis,SC
e4939926a2f4419396327dd0f3f59906,85126265e83c4599803990736d43a903,46421,cidade 2 pb,PB
760a99a2f7c44c1d9f7d4833fc70e5e0,39014453913247ebbdc543197884e19e,23396,caxias do sul,RS
d7bb526258c74375ab6abee7e0825522,089c2723546a4a178ff29902b048ce8b,57052,rio de janeiro,RJ
bd09f9f9d60f4409be137913cb4fe3a6,84375db3bfaf49d1a3321c0a4fd4628c,44671,cidade 3 rn,RN
c39c72775d464451885ffac89354aadc,d56e7d0a0c53404f83b62a6048d9b131,70217,cidade 3 rn,RN
67c4d679f3574eb7b50adc8263710eb0,0563f6a882954382a1bd76e5c4ebb6f7,20328,cidade 2 pa,PA
b624dfb409754e51b6412c4535e3188b,2ff7e91e9716451a8c155430189e3832,91070,cidade 3 ma,MA
07b8cd4042854a48be40c5fcfeacc0d8,9643fba45a2742588525a97690225eb2,85674,cidade 2 mt,MT
fcbe78018d8345ccb70ea05096667ab3,9ed2eb713e8a483fa51ff55ff3f3158a,16006,porto alegre,RS
c566608c4f33475daf32ee3fdf77d0f0,55fffbb0916b4bca9a193f50b6381144,20458,cidade 2 pb,PB
ec008c6165e4464fbdf7f44eb41750e7,1d8069ea3286428bb19bc484e5611151,59823,cidade 1 mt,MT
63447ede69274f67a01580ac97499df3,a338d88b3f5f4293b2e46e1d20661160,57819,blumenau,SC
cd2c98d303da4109a57e895dc0c78c9b,711da5fabcb8490f9435f38a191a1af1,37460,caxias do sul,RS
06362d46fc004e93a4090619e6ce5bb3,bccb846baa344329b6422ed51cd55c4e,99593,cidade 3 pb,PB
2d980ba7d1a34c5f86abf3f17ec4f324,e6676db23a70478680bc0dc4f8580ba7,93227,cidade 3 ms,MS
e17d01e4622f49449243d635ca666384,926db45622344207a447bab21045236d,42087,pelotas,RS
e539a20758244eaaa78482aa8445781f,9f733f0865c244e28587513e0cb1265c,45382,caxias do sul,RS
e800e902866f453a8ed46295ed4c5661,377275f80c1e462ea6384a20872eed1c,83000,cidade 3 pi,PI
8f1de2fd27354465afdaf68c6e9d6d5c,e0f4316dd105454094e37d3e032b8638,17331,londrina,PR
ef3038d8e4f241f39dfae7e1f2358972,58d93249164843fba0a1173bf70f1cf9,51347,curitiba,PR
1be2f4c9fce24415b775b942341595de,584adb673bed4ac58934d13926cd9afa,37653,recife,PE
64b8633374e54c3791351cab86dba964,9d7c1ce79a0d42c5995c8de3f0c5f4d5,51245,cidade 3 al,AL
6d05c10a7f3d4a3b96301087ea9e324a,bda6b03cc57f493994ccfe452db15d5b,61856,londrina,PR
