order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
0b7bb046a3f3439e8ddae18cdf611157,1,35614561d378476d8dfe6e032b85f71b,a32dab7136224d5a848460ae83c9718e,2018-01-31 17:59:44,81.24,7.92
dbd7f8139a374145b351914824e8bbb0,1,214d0b95a0be40498a566a141e399d21,83b3dbfeef1847f5bfabd7a07212c786,2018-01-04 13:50:22,48.88,79.23
da7cf6e3e72f4622a9c059c3130388d1,1,45d2e55badd04f3c868b6c5ba237e9b6,d681f1be8d134f4da3ed5a9cc5dd890a,2018-01-16 12:16:23,91.67,46.04
da7cf6e3e72f4622a9c059c3130388d1,2,0c30ef21721c455b92b75265008ca190,8e0fe397ba5f43bab990bcafa2fcdafc,2018-01-18 12:16:23,184.64,65.02
da7cf6e3e72f4622a9c059c3130388d1,3,b4d7ce7c115d4e41b32ac7d66b8e47b0,24efef87f4b340c698f79bd4deaa6676,2018-01-17 12:16:23,45.27,35.44
da7cf6e3e72f4622a9c059c3130388d1,4,b65dd19f5678414ab6073589051983d4,6329f826495148b6b317c6941e33d2ba,2018-01-13 12:16:23,45.27,29.81
da7cf6e3e72f4622a9c059c3130388d1,5,9f71071860184fe3b81c53089c413aa0,6ae3df168b7e47b4a78dc6328453c71b,2018-01-20 12:16:23,193.13,74.53
0b9ab2d9e208417ea29c483c9515ad94,1,b763a1c7e4914bd990ba0ec43cc7215b,8aec483150b045e6a1933ac629bd51c2,2017-06-24 09:16:15,100.88,51.49
0b9ab2d9e208417ea29c483c9515ad94,2,7c301754320246d1831d96d78089698f,d12f40fc16ae4963862dce8c990dec71,2017-06-22 09:16:15,37.5,77.07
bff6799dcbeb46d78964315f17c006f0,1,043293adcf38462cb9597edd805ab06a,76c4bfe93d294dfd81e02f550a7ce1c6,2017-09-14 14:24:57,84.27,49.55
7723df7e3e0f4fc58731de80d5b88492,1,f44c719509cd42d5bcbfadde9541e022,f8436516baaa4c7c816c755cc003ce41,2018-06-13 20:54:49,37.69,13.04
15ce3d5a56374c939c7d3892567cb12f,1,f3f7007540d84d958dd93e95a2d3cb1c,3f0b714a3fa8440793c9810fe82bb6aa,2017-03-15 05:57:23,37.62,54.96
2e248787594240b29830310b58fe24fb,1,a55d5c0687cd47968a02999cc9a7a41d,b6bd2935f9514af393997da9252271c1,2018-04-16 13:28:33,66.26,76.33
2e248787594240b29830310b58fe24fb,2,75827074d4f5417aab1b11f894462828,6d510642e66343c49782254c24578e75,2018-04-21 13:28:33,11.82,12.11
8c79382b30914a8b8f955d4a02e398ab,1,495ccba805fe4e56a0252ecc71b99a8f,484458ef32024313beb0da39bab0e28e,2018-07-26 03:30:11,13.74,65.41
8c79382b30914a8b8f955d4a02e398ab,2,fbd6afc7d027456fbbf29c5a11a74d8b,0373500b147544ca86723f1598bd6f79,2018-07-27 03:30:11,34.82,9.05
8c79382b30914a8b8f955d4a02e398ab,3,a0e85f7a074646688f91801c083bcc09,8e0fe397ba5f43bab990bcafa2fcdafc,2018-07-23 03:30:11,24.28,52.54
8c79382b30914a8b8f955d4a02e398ab,4,952a9fbb600e48a695d337618369fa68,a1e004a7988a4a1e8b103037c7bd3b3e,2018-07-26 03:30:11,70.2,73.95
8c79382b30914a8b8f955d4a02e398ab,5,90122a4cd50645ec914b58ebc6c2ffad,2343ea5a36dd4b3aa01902087b86157d,2018-07-22 03:30:11,26.41,56.19
5558a504658d457eae9ecba5ea155000,1,e053f8766ee04032b3575e446dac5b88,8635c30053bb4dc8b4b347499ee5d305,2017-07-26 05:51:40,17.64,18.67
5558a504658d457eae9ecba5ea155000,2,8eefb94b86d24bb4b1270bc81294e951,cd74814df5094bd0b2723d71ee83e725,2017-07-29 05:51:40,176.36,70.39
5558a504658d457eae9ecba5ea155000,3,8231a905322c42ebb8d99d7f2706c535,e5e5c093f35d48c786b4276f8e9aaccf,2017-07-26 05:51:40,45.58,69.49
5558a504658d457eae9ecba5ea155000,4,7e8d2fae2567440a993794643f4801fc,dea83f8143df4fd9aa976d3eb834ffde,2017-07-24 05:51:40,57.63,10.92
5558a504658d457eae9ecba5ea155000,5,6743b6e39f7a4c069fa7dabc34825155,51eef252c86c495184b5404cc5b85b84,2017-07-27 05:51:40,17.47,69.71
0745d25f007f4d8f98c60ff663b1184e,1,48a237f4fb924ea4872c138caa7e1fd8,4d11ee0a7d374e279f6466e462f51e66,2018-04-12 23:25:01,35.32,38.01
0745d25f007f4d8f98c60ff663b1184e,2,a55d5c0687cd47968a02999cc9a7a41d,df1a5177dcc146e9a401a01e5defcc36,2018-04-13 23:25:01,59.66,7.4
0745d25f007f4d8f98c60ff663b1184e,3,0266b94ebc834605b1b2782211ea6c8a,0766ba1b0c9b4465b3ca370200c68c24,2018-04-15 23:25:01,21.74,12.49
0745d25f007f4d8f98c60ff663b1184e,4,5c24d4ca27684e5fbe802692c05856df,f63dd5e6665c4d1aa58d024ebbf3fbbe,2018-04-11 23:25:01,73.74,68.34
985eae7cd4c9497a964a6f59df337370,1,7141a5e6511e47d6b20d8899180489f8,7169f0db290a4559af59dc5388a1b923,2017-10-31 07:21:01,33.77,58.12
dfbfb9fb03d5488382d293d914612da7,1,fb47877844c94e5eb660e1f4ce39ec26,2daa82a141b141c182d223a62841214d,2017-05-31 11:12:12,43.23,73.51
54b363886a514e2ebf6e59e7bdb1487a,1,156421b7a675415190798a2bc1a254b7,141bb04139064bc19ed4adaec81c1a93,2018-06-15 15:06:36,33.74,5.73
54b363886a514e2ebf6e59e7bdb1487a,2,b763a1c7e4914bd990ba0ec43cc7215b,83ac2be615064e7b9b8b95791eb5ff8f,2018-06-18 15:06:36,240.28,77.74
c7315fab191e4a7a9d4d0f18e669d028,1,715f8fcbb2a149e7b78c06bd1e898b65,d23c31f557844f92b499bc4c9c7b5124,2017-03-28 18:54:20,54.01,5.23
c7315fab191e4a7a9d4d0f18e669d028,2,e175cc133ff94a7483a3d11c8cb09e0c,15e8b94a1df549e0849260cace9b1e8b,2017-03-27 18:54:20,23.43,70.87
c8a0cd9c9bde408aada16a6b80d06417,1,b832037fbc5b4e28b83e671713e38c40,d9709b5ed22942c6966ecaed053046d6,2017-08-26 13:11:31,105.43,9.83
d408e1572dce456f81704957ffb24069,1,0b42ea04e034458dad549a572f04271e,d020ad3639bf43948680617565cfd036,2017-08-13 02:49:30,20.56,76.66
706fa9dbb6eb4685bbc89cf7852b3fed,1,408bcffedcca4a578cf04e32d7c7a105,d020ad3639bf43948680617565cfd036,2018-06-24 20:26:03,64.53,76.99
706fa9dbb6eb4685bbc89cf7852b3fed,2,f93f9a53e4da448cbf4fd78ad9f5ae0d,4d11ee0a7d374e279f6466e462f51e66,2018-06-25 20:26:03,11.38,73.2
